mz,MSS1a.mzML,MSS2a.mzML,MSS3a.mzML,MSS4a.mzML,MSS5a.mzML,MSS5a3.mzML,MSS5a2.mzML,MSS6a.mzML,MSS13a1.mzML,MSS13a2.mzML,MSS13a3.mzML,MSS13a.mzML,MSS10a.mzML,MSS11a.mzML,MSS11a3.mzML,MSS11a2.mzML,MSS11a1.mzML,MSS14a.mzML,MSS14a1.mzML,MSS14a2.mzML,MSS14a3.mzML,pval,qval
536.1656186681892,201615.125,220586.890625,174950.828125,213471.40625,nan,194216.21875,186064.453125,140349.4375,181038.1875,171818.0,116307.5859375,102072.484375,nan,81895.7578125,134822.9375,118787.3203125,180765.96875,114659.3359375,nan,nan,nan,0.037835403589749787,6041.571428571428
261.05260299820185,1159298.375,2655945.75,3431270.0,713154.625,1071001.125,nan,nan,nan,318444.875,115850.765625,nan,281434.5625,nan,234462.453125,nan,44736.82421875,nan,nan,nan,165439.875,nan,0.038354293759055504,5970.494117647058
331.00239534813414,251449.890625,251365.265625,nan,nan,1033784.6875,256018.84375,255048.6875,357741.25,266546.5625,263573.1875,222489.015625,240935.046875,nan,129365.4296875,238386.484375,238375.875,237110.25,216974.046875,nan,161172.203125,181875.84375,0.039776457438103527,5901.069767441861
121.03985196339254,524891.0,1026932.4375,5769340.0,1537156.75,7001613.5,2133288.75,1481199.25,1833762.375,1530184.125,648520.9375,nan,nan,nan,nan,2482745.5,nan,nan,nan,6560518.5,6558214.0,4629814.0,0.039941593199403755,5833.241379310345
361.22224456724007,851124.625,618005.125,415196.03125,548542.75,552609.4375,561079.625,632343.375,617621.0,747990.6875,661488.6875,655878.0625,745444.125,329054.75,532721.75,550187.3125,679719.6875,692276.875,664400.875,310002.34375,418417.625,443158.25,0.040339669147903726,5766.954545454545
237.14625166033372,nan,nan,nan,184857.03125,465038.5625,nan,307059.84375,132730.15625,nan,226272.5,123017.3125,149327.40625,nan,221908.125,661711.125,nan,197005.125,173117.921875,1078476.375,1125672.75,828087.0,0.04133548290626779,5702.157303370786
94.51539647679957,nan,nan,nan,nan,nan,449541.875,263380.0,nan,320588.75,136819.703125,nan,nan,nan,nan,731217.5,288931.75,363092.375,nan,678972.8125,608328.75,660432.0625,0.042945779125766824,5638.8
215.0163645042623,nan,nan,nan,nan,nan,305499.9375,173936.671875,nan,nan,nan,nan,nan,nan,nan,511458.6875,321226.46875,nan,nan,948877.9375,950367.0,652079.5,0.043753330936469811,5576.8351648351645
102.09158619468505,nan,nan,nan,nan,nan,542304.9375,676987.4375,543576.5,569111.5,513272.4375,567830.9375,616202.25,380410.28125,nan,420160.34375,450603.5625,505575.21875,644172.6875,205269.4375,nan,nan,0.047415791755555804,5516.217391304348
194.14693931083153,nan,nan,99490.484375,nan,nan,143866.671875,155429.734375,nan,125547.515625,113527.234375,122721.4140625,nan,nan,95888.4140625,54348.5390625,nan,111512.0859375,nan,nan,nan,nan,0.050121526045104746,5456.903225806452
