mz,MSS1a.mzML,MSS2a.mzML,MSS3a.mzML,MSS4a.mzML,MSS5a.mzML,MSS5a1.mzML,MSS5a2.mzML,MSS5a3.mzML,MSS6a.mzML,MSS13a.mzML,MSS13a1.mzML,MSS13a2.mzML,MSS13a3.mzML,MSS1b.mzML,MSS2b.mzML,MSS3b.mzML,MSS4b.mzML,MSS5b.mzML,MSS5b1.mzML,MSS5b2.mzML,MSS5b3.mzML,MSS6b.mzML,MSS13b.mzML,MSS13b1.mzML,MSS13b2.mzML,MSS13b3.mzML,MSS10a.mzML,MSS11a.mzML,MSS11a1.mzML,MSS11a2.mzML,MSS11a3.mzML,MSS14a.mzML,MSS14a1.mzML,MSS14a2.mzML,MSS14a3.mzML,MSS10b.mzML,MSS11b.mzML,MSS11b1.mzML,MSS11b2.mzML,MSS11b3.mzML,MSS14b.mzML,MSS14b1.mzML,MSS14b2.mzML,MSS14b3.mzML,n_blank,pval,qval
434.24488714597624,231483.484375,423718.09375,nan,201409.09375,nan,nan,120077.28125,nan,184037.125,175944.125,nan,239878.6875,108082.703125,514376.84375,442519.875,192639.390625,265643.1875,666267.625,172524.953125,nan,158423.828125,447008.71875,171827.953125,172865.15625,nan,nan,nan,nan,nan,nan,nan,212672.78125,nan,nan,nan,339911.875,nan,nan,nan,nan,172761.609375,nan,nan,nan,6,0.00032324163117541959,0.01533088879289133
291.08417619015677,259027.6875,244183.859375,1991401.375,97754.515625,900268.25,nan,243150.515625,229536.921875,418473.75,493804.875,1164911.75,169212.734375,nan,97394.5546875,132292.484375,54173.44921875,nan,nan,nan,nan,61795.37109375,95703.8125,514663.75,156160.265625,nan,357719.53125,nan,136542.890625,nan,nan,nan,114315.515625,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,37075.140625,118641.5234375,0,0.00032730222901564853,0.015162466051143532
230.24791074163258,nan,209540.046875,341927.84375,258902.390625,nan,416856.9375,116301.3671875,538345.4375,nan,nan,168521.546875,70989.4921875,32944.0859375,nan,313455.875,293230.0,168734.453125,nan,nan,12489.072265625,nan,nan,nan,358229.25,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,18329.806640625,nan,nan,5,0.00038995245097661033,0.017654210962395632
236.90874508647292,279582.5,249650.328125,nan,120643.0234375,nan,nan,153707.015625,nan,199958.0625,nan,nan,nan,nan,265732.0,195902.359375,320870.25,185319.71875,126571.75,100656.421875,nan,nan,232271.515625,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,0.00041349291942585219,0.018303953233251055
269.1021895743783,476894.5,193645.84375,nan,nan,nan,nan,nan,nan,151068.078125,381418.4375,415966.46875,nan,nan,nan,186135.8125,136673.921875,nan,nan,nan,nan,nan,236167.953125,369892.5,133350.28125,79212.8828125,234484.578125,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.00041581257659225495,0.018006492447212429
164.04249032338308,860539.6875,416364.4375,nan,nan,nan,nan,nan,nan,nan,472941.375,1850425.125,212848.984375,nan,nan,301295.25,229284.359375,nan,nan,nan,nan,nan,257102.140625,882931.875,168156.640625,91034.703125,227362.96875,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.00042093592624324318,0.017840518405883837
307.0579804248536,942123.125,291170.90625,2613639.5,nan,nan,nan,nan,nan,298786.5,575682.625,880436.9375,nan,nan,nan,209113.375,191427.015625,nan,nan,nan,nan,nan,133830.1875,683916.0625,150461.0,nan,276082.4375,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.00042214522464276697,0.017519026822674828
79.01811607573103,nan,nan,1088470.75,nan,nan,1779862.625,4006739.0,2576730.0,1282479.125,nan,nan,nan,958174.5625,nan,nan,nan,nan,nan,4285125.0,nan,nan,nan,1150054.75,nan,nan,nan,23461582.0,2624608.25,1754619.875,1741132.375,1561391.0,1813275.875,1824466.0,1839755.75,1678931.75,nan,1503115.5,nan,nan,1365146.125,1214294.5,20360.35546875,1333194.0,701401.125,1,0.00042373573675348104,0.017226154849243558
321.0736817711313,11338363.0,2970504.25,25353606.0,nan,nan,nan,nan,nan,3913368.0,5203824.0,9052694.0,nan,nan,nan,1636525.0,600928.8125,nan,nan,218374.546875,nan,nan,nan,7488833.5,1381394.875,nan,2566100.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.00043027185668083247,0.017142030770164365
345.1081901922642,821778.0625,nan,601150.25,nan,320306.71875,54815.484375,nan,nan,nan,283381.0625,nan,120918.53125,72895.6015625,403569.15625,nan,nan,4708.07666015625,nan,246260.671875,nan,136218.40625,nan,220348.53125,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.00043983192132371443,0.017179317397585079
387.1931085325061,1125273.5,1416616.75,527823.9375,886052.875,nan,nan,nan,nan,990257.25,nan,nan,nan,nan,1509856.75,1730660.125,702997.5,664664.25,1583962.375,nan,4851.32763671875,nan,1804969.25,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2,0.00044479991726642515,0.017039258369129208
227.16432137615683,211360.296875,273974.875,175245.375,371714.75,231681.125,334969.84375,257689.359375,219220.5625,nan,nan,231344.890625,236066.78125,184330.15625,270037.125,308469.5,231309.734375,238227.921875,nan,197531.59375,nan,nan,nan,nan,186617.921875,192050.734375,186885.4375,nan,nan,207871.6875,nan,152603.1875,nan,nan,nan,nan,nan,nan,204574.375,207494.4375,nan,nan,nan,nan,nan,6,0.00048520852888262568,0.018236516783663968
134.11778634011583,nan,124421.0,628056.4375,nan,392550.90625,1222060.0,135375.203125,nan,151232.78125,143422.125,328890.28125,163027.109375,133668.078125,nan,752081.6875,nan,102282.828125,33917.515625,547477.9375,nan,nan,nan,161570.828125,453532.3125,133460.90625,1384991.375,nan,nan,nan,nan,nan,nan,808215.125,565757.5625,nan,nan,nan,nan,nan,nan,nan,nan,nan,1066234.5,2,0.00054735572946826197,0.02019134468705144
